,V17,V14,V12,V10,V16,V3,V7,V11,V4,V18,Time,Amount
V17,1.0,0.5818554349899042,0.8375997569882582,0.810922937566074,0.9622800663226947,0.6333875282844255,0.7260949881193325,-0.6926018111492906,-0.5959007156299377,0.9719397509512955,0.2994171431401639,0.034890119133329706
V14,0.5818554349899042,1.0,0.8050144832820602,0.6089838854343069,0.6500486658761104,0.4603475976045044,0.3474694891562329,-0.8598741696822746,-0.6541523160620861,0.49147656058716044,0.18649193507306205,0.1933561719663267
V12,0.8375997569882582,0.8050144832820602,1.0,0.8403929688659965,0.8793210320576564,0.6489681191528379,0.6557144170296205,-0.8906081479400493,-0.774911293391886,0.7891052004626092,0.32411644435564246,0.135321980400247
V10,0.810922937566074,0.6089838854343069,0.8403929688659965,1.0,0.8172565647074745,0.8018282616171383,0.8675798774943208,-0.7304167863273556,-0.7212074309062889,0.7897102034473314,0.25312991923374817,0.10214091704381352
V16,0.9622800663226947,0.6500486658761104,0.8793210320576564,0.8172565647074745,1.0,0.615441095615921,0.6934440248117079,-0.7458656115082526,-0.6088924109504085,0.9452355652094144,0.2888406798487731,0.04928054492367993
V3,0.6333875282844255,0.4603475976045044,0.6489681191528379,0.8018282616171383,0.615441095615921,1.0,0.8812031452845908,-0.6061966714642097,-0.7201029977747699,0.6341652958269051,0.22994212143356305,0.0827482760031934
V7,0.7260949881193325,0.3474694891562329,0.6557144170296205,0.8675798774943208,0.6934440248117079,0.8812031452845908,1.0,-0.5444469159841461,-0.6940521160403572,0.742865733891779,0.2529319645569386,0.19613834191990812
V11,-0.6926018111492906,-0.8598741696822746,-0.8906081479400493,-0.7304167863273556,-0.7458656115082526,-0.6061966714642097,-0.5444469159841461,1.0,0.7247590807921779,-0.6112028433039933,-0.3677532945148085,-0.14141711984538424
V4,-0.5959007156299377,-0.6541523160620861,-0.774911293391886,-0.7212074309062889,-0.6088924109504085,-0.7201029977747699,-0.6940521160403572,0.7247590807921779,1.0,-0.5711728441525004,-0.21071682938711742,-0.1343488854885511
V18,0.9719397509512955,0.49147656058716044,0.7891052004626092,0.7897102034473314,0.9452355652094144,0.6341652958269051,0.742865733891779,-0.6112028433039933,-0.5711728441525004,1.0,0.32038841249460365,0.022001068503916848
Time,0.2994171431401639,0.18649193507306205,0.32411644435564246,0.25312991923374817,0.2888406798487731,0.22994212143356305,0.2529319645569386,-0.3677532945148085,-0.21071682938711742,0.32038841249460365,1.0,0.04991386530042262
Amount,0.034890119133329706,0.1933561719663267,0.135321980400247,0.10214091704381352,0.04928054492367993,0.0827482760031934,0.19613834191990812,-0.14141711984538424,-0.1343488854885511,0.022001068503916848,0.04991386530042262,1.0
