feature,abs_correlation_with_target,review_flag_gt_0_95
V17,0.3134982729556793,False
V14,0.29337538479004244,False
V12,0.25071117720572017,False
V10,0.20697123823505903,False
V16,0.18718605284536083,False
V3,0.18232224748340453,False
V7,0.17234653244006812,False
V11,0.14906710367009615,False
V4,0.12932583072677128,False
V18,0.10533971521707305,False
V1,0.09448583378656274,False
V9,0.09402128731255407,False
V5,0.08781244297489552,False
V2,0.08462444869117351,False
V6,0.043915409238085734,False
V19,0.033631154442230346,False
V8,0.03306802333281736,False
V21,0.026357438897066807,False
V27,0.02189211330695945,False
V20,0.02148634032100875,False
Time,0.012359339838080298,False
V28,0.009682426330025314,False
V24,0.007210125120706586,False
V23,0.006333210643022919,False
Amount,0.005777019670480672,False
V22,0.0048872321638307415,False
V26,0.004264576791248341,False
V13,0.003896955111430142,False
V15,0.0032995578711372373,False
V25,0.003202493530110167,False
