column,nunique,is_constant
Time,124592,False
V1,275663,False
V2,275663,False
V3,275663,False
V4,275663,False
V5,275663,False
V6,275663,False
V7,275663,False
V8,275663,False
V9,275663,False
V10,275663,False
V11,275663,False
V12,275663,False
V13,275663,False
V14,275663,False
V15,275663,False
V16,275663,False
V17,275663,False
V18,275663,False
V19,275663,False
V20,275663,False
V21,275663,False
V22,275663,False
V23,275663,False
V24,275663,False
V25,275663,False
V26,275663,False
V27,275663,False
V28,275663,False
Amount,32767,False
Class,2,False
