column,top_frequency_percent,variance,is_near_constant_top_frequency,is_low_variance_numeric
Time,0.0074,2254449908.791303,False,False
V1,0.0271,3.794805848456219,False,False
V2,0.0271,2.7116306524577176,False,False
V3,0.0271,2.276121124286756,False,False
V4,0.0271,1.9999164267188876,False,False
V5,0.0271,1.8961518012059104,False,False
V6,0.0271,1.7740391011467067,False,False
V7,0.0271,1.5071586401724542,False,False
V8,0.0271,1.3901693431931876,False,False
V9,0.0271,1.200103776088826,False,False
V10,0.0271,1.1586527834313483,False,False
V11,0.0271,1.037790749466828,False,False
V12,0.0271,0.9893772519618889,False,False
V13,0.0271,0.9908801617606594,False,False
V14,0.0271,0.9067135776867605,False,False
V15,0.0271,0.8370303605320291,False,False
V16,0.0271,0.7633452728114608,False,False
V17,0.0271,0.7098185855117147,False,False
V18,0.0271,0.701201127382765,False,False
V19,0.0271,0.6615846706508633,False,False
V20,0.0271,0.5928757320209612,False,False
V21,0.0271,0.5240447714306188,False,False
V22,0.0271,0.5249733769461337,False,False
V23,0.0271,0.38900465704726184,False,False
V24,0.0271,0.36678369752941886,False,False
V25,0.0271,0.2716706185274513,False,False
V26,0.0271,0.23237503776052013,False,False
V27,0.0271,0.156613219295148,False,False
V28,0.0271,0.10760145312437634,False,False
Amount,4.7814,62699.87810789615,False,False
Class,99.8333,0.0016643279973830264,False,False
